+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                                 URI                                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
